place_name,sector,reviewer_name,rating,time,text,text_clean,sentiment,score,place_lat,place_lng
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,IMMANUEL YADIKA SUKANDAR,5,2 tahun lalu,"The pier itself is good, the view to the sea is also good and beautiful. However, what is unfortunate is again the a lot of garbage and the poor system provided by ASDP. Trash in the harbor area is plentiful and piles up both trash from ships and trash from the community. People themselves are still fond of throwing garbage both cigarette butts, and other garbage into the sea and also around the dock. This reduces the beauty of the environment and the beauty of the sea. Not infrequently it is still often done. Also, the system provided by ASDP itself is not clear. Where, I experienced a delay of up to 3 hours in the middle of the sea because I was waiting for the ship to dock at the port. For 3 hours, there was no information provided by ASDP or the captain of the ship so that passengers became annoyed and some were even disappointed and afraid. Hopefully in the future ASDP and the port will realize this and make improvements. Thank you.

Dermaganya sendiri bagus, view dan pandangan ke lautnya juga bagus dan indah. Namun yang disayangkan adalah lagi-lagi banyaknya sampah dan buruknya sistem yang diberikan ASDP. Sampah di daerah pelabuhan ini banyak dan menumpuk baik sampah dari kapal maupun sampah dari masyarakat. Masyarakat sendiri masih gemar membuang sampah baik puntung rokok, maupun sampah-sampah lainnya ke dalam laut dan juga ke sekitar dermaga. Ini menjadi mengurangi keestetikan dari lingkungan dan keindahan dari laut itu. Tak jarang itu masih sering dilakukan. Juga, sistem yang diberikan ASDP sendiri tidak jelas. Di mana, Saya mengalami delay hingga 3 jam di tengah laut karena menunggu kapal untuk bersandar di pelabuhan. Selama 3 jam, tidak ada informasi yang diberikan oleh pihak ASDP maupun nahkoda kapal sehingga penumpang menjadi jengkel dan bahkan ada yang kecewa dan takut. Semoga kedepannya pihak ASDP dan pihak pelabuhan menyadari hal ini dan melakukan perbaikan. Terima kasih","the pier itself is good  the view to the sea is also good and beautiful  however  what is unfortunate is again the a lot of garbage and the poor system provided by asdp  trash in the harbor area is plentiful and piles up both trash from ships and trash from the community  people themselves are still fond of throwing garbage both cigarette butts  and other garbage into the sea and also around the dock  this reduces the beauty of the environment and the beauty of the sea  not infrequently it is still often done  also  the system provided by asdp itself is not clear  where  i experienced a delay of up to 3 hours in the middle of the sea because i was waiting for the ship to dock at the port  for 3 hours  there was no information provided by asdp or the captain of the ship so that passengers became annoyed and some were even disappointed and afraid  hopefully in the future asdp and the port will realize this and make improvements  thank you 

dermaganya sendiri bagus  view dan pandangan ke lautnya juga bagus dan indah  namun yang disayangkan adalah lagi lagi banyaknya sampah dan buruknya sistem yang diberikan asdp  sampah di daerah pelabuhan ini banyak dan menumpuk baik sampah dari kapal maupun sampah dari masyarakat  masyarakat sendiri masih gemar membuang sampah baik puntung rokok  maupun sampah sampah lainnya ke dalam laut dan juga ke sekitar dermaga  ini menjadi mengurangi keestetikan dari lingkungan dan keindahan dari laut itu  tak jarang itu masih sering dilakukan  juga  sistem yang diberikan asdp sendiri tidak jelas  di mana  saya mengalami delay hingga 3 jam di tengah laut karena menunggu kapal untuk bersandar di pelabuhan  selama 3 jam  tidak ada informasi yang diberikan oleh pihak asdp maupun nahkoda kapal sehingga penumpang menjadi jengkel dan bahkan ada yang kecewa dan takut  semoga kedepannya pihak asdp dan pihak pelabuhan menyadari hal ini dan melakukan perbaikan  terima kasih",Negatif,0.9934328794,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Robert David Sinaga,5,setahun lalu,Pelabuhan pertama di Lampung yang langsung masuk ke dalam tol trans sumatera atau ke jalur bawah jalan lintas sumatera.,pelabuhan pertama di lampung yang langsung masuk ke dalam tol trans sumatera atau ke jalur bawah jalan lintas sumatera,Netral,0.999895215,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Way98,5,3 tahun lalu,"Paling terbaik kalo nyebrangnya subuh, trus di jalan bisa lihat sunrise :)",paling terbaik kalo nyebrangnya subuh  trus di jalan bisa lihat sunrise,Positif,0.9999650717,-5.8691898,105.7559898
DERMAGA 2 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Ant Semut,4,2 tahun lalu,16/7/23 pembayaran tiket online ferizy hanya ada ATM BRI+BSI dan Alfamart .. masih ada calo di dlm ruang tunggu *penampilan okk* tapi tidak berseragam+ id card,16 7 23 pembayaran tiket online ferizy hanya ada atm bri bsi dan alfamart    masih ada calo di dlm ruang tunggu  penampilan okk  tapi tidak berseragam  id card,Netral,0.9999059439,-5.8691898,105.7559898
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,M Nicco Gumaisa,5,setahun lalu,"“Pelabuhan Bakauheni merupakan salah satu pelabuhan utama di Lampung dan pintu gerbang antara Pulau Sumatra dan Pulau Jawa. Pelabuhan ini cukup ramai dan memiliki fasilitas yang cukup lengkap untuk para penumpang, seperti area parkir yang luas, toilet, dan beberapa warung makan. Meski kadang antrean bisa panjang, terutama saat musim liburan, pelayanan di pelabuhan ini sudah cukup baik. Saya harap ke depannya ada peningkatan dalam hal kebersihan dan pengaturan antrean kendaraan agar perjalanan menjadi lebih nyaman. Secara keseluruhan, pengalaman saya cukup memuaskan. Terima kasih untuk seluruh petugas yang bertugas!”
Dan saya sebagai warga lampung sangat bangga memiliki pelabuhan ini. 🔥🔥🔥","pelabuhan bakauheni merupakan salah satu pelabuhan utama di lampung dan pintu gerbang antara pulau sumatra dan pulau jawa  pelabuhan ini cukup ramai dan memiliki fasilitas yang cukup lengkap untuk para penumpang  seperti area parkir yang luas  toilet  dan beberapa warung makan  meski kadang antrean bisa panjang  terutama saat musim liburan  pelayanan di pelabuhan ini sudah cukup baik  saya harap ke depannya ada peningkatan dalam hal kebersihan dan pengaturan antrean kendaraan agar perjalanan menjadi lebih nyaman  secara keseluruhan  pengalaman saya cukup memuaskan  terima kasih untuk seluruh petugas yang bertugas  
dan saya sebagai warga lampung sangat bangga memiliki pelabuhan ini",Positif,0.99995327,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Khairul Amin,5,sebulan lalu,alhamdulillah bisa naik kapal ini lagi,alhamdulillah bisa naik kapal ini lagi,Positif,0.9999623299,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,M Arief Rahman,5,setahun lalu,"Dermaga 1 Pelabuhan Bakauheni adalah salah satu dermaga utama yang melayani penyeberangan kapal feri reguler antara Pulau Sumatra dan Pulau Jawa. 🛳️ Dermaga ini dirancang untuk melayani kendaraan roda dua, roda empat, dan penumpang pejalan kaki dengan akses yang efisien.

Dengan operasional 24 jam, Dermaga 1 menjadi salah satu pilihan utama bagi pelancong dan logistik yang membutuhkan penyeberangan dengan harga terjangkau. Fasilitasnya mencakup ruang tunggu sederhana, area parkir, dan layanan tiket yang mudah diakses. Meski tidak se-premium terminal eksekutif, Dermaga 1 tetap menjadi bagian penting dalam mendukung mobilitas di Selat Sunda. 🚗🌊","dermaga 1 pelabuhan bakauheni adalah salah satu dermaga utama yang melayani penyeberangan kapal feri reguler antara pulau sumatra dan pulau jawa     dermaga ini dirancang untuk melayani kendaraan roda dua  roda empat  dan penumpang pejalan kaki dengan akses yang efisien 

dengan operasional 24 jam  dermaga 1 menjadi salah satu pilihan utama bagi pelancong dan logistik yang membutuhkan penyeberangan dengan harga terjangkau  fasilitasnya mencakup ruang tunggu sederhana  area parkir  dan layanan tiket yang mudah diakses  meski tidak se premium terminal eksekutif  dermaga 1 tetap menjadi bagian penting dalam mendukung mobilitas di selat sunda",Positif,0.9999529123,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Real Maron,5,setahun lalu,"Pelayanan ramah, toilet banyak, aman dan bersih. Di Ruangan ber ac tidak ada intimidasi harus masuk keruang tambahan yang berbayar, melainkan suka-suka.",pelayanan ramah  toilet banyak  aman dan bersih  di ruangan ber ac tidak ada intimidasi harus masuk keruang tambahan yang berbayar  melainkan suka suka,Positif,0.999935627,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Aragus Riyadi,5,7 tahun lalu,"Asdp...Fasilitas dan pelayanan berangsur membaik dan memuaskan, tapi yang namanya rakyat biasa pasti saja ada yg dinilai kurang, semoga nanti tidak di berikan karcis tambahan karna masuk kelas bisnis.
Rute kira2 begini, bayar Masuk gate 1 non tunai rp. 51.000 (hapir semunya nontunai, yg cash audah tidak ada) antri 30 menit +- lalu masuk ke kapal dan ada pilihan rungan, ada kelas ekonomi, bisnis, lesehan, (biasanya yg bisnis kena karcis tambahan rp 10.000 - 12.000 +-)","asdp   fasilitas dan pelayanan berangsur membaik dan memuaskan  tapi yang namanya rakyat biasa pasti saja ada yang dinilai kurang  semoga nanti tidak di berikan karcis tambahan karena masuk kelas bisnis 
rute kira2 begini  bayar masuk gate 1 non tunai rp  51 000  hapir semunya nontunai  yang cash audah tidak ada  antri 30 menit    lalu masuk ke kapal dan ada pilihan rungan  ada kelas ekonomi  bisnis  lesehan   biasanya yang bisnis kena karcis tambahan rp 10 000   12 000",Negatif,0.4845651686,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Astri Cha,5,4 tahun lalu,"Pembelian tiket sekarang lebih mudah, simpel tanpa ribet melalui aplikasi online Ferizy,
Fasilitas lengkap dan bersihh,
Berharap after lebaran ini, bisa segera melewati bakauhuni untuk pulkam🤲🤲","pembelian tiket sekarang lebih mudah  simpel tanpa ribet melalui aplikasi online ferizy 
fasilitas lengkap dan bersihh 
berharap after lebaran ini  bisa segera melewati bakauhuni untuk pulkam",Positif,0.9998879433,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Google Guide,5,3 tahun lalu,"Pelayanan penyeberangan eksekutif, kalau musim liburan antri kapal, datang lebih awal sehingga anda tidak lama menunggu antrian",pelayanan penyeberangan eksekutif  kalau musim liburan antri kapal  datang lebih awal sehingga anda tidak lama menunggu antrian,Positif,0.9999428988,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,sp barus,4,Diedit 3 tahun lalu,"Pelabuhan eksekutif nya bagus, penyeberangan lebih cepat, sudah ada angkutan moda langsung ke lampung via tol bakauheni",pelabuhan eksekutif nya bagus  penyeberangan lebih cepat  sudah ada angkutan moda langsung ke lampung via tol bakauheni,Netral,0.9972233772,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,M. Abdul Fattah65,4,setahun lalu,Sewaktu ke  p.jawa bersama anak . lumayan  dermaga yg  cukup indah dan mengesankan....,sewaktu ke  p jawa bersama anak   lumayan  dermaga yang  cukup indah dan mengesankan,Positif,0.999953866,-5.8671636,105.7570097
Dermaga 1 Ferry Pelabuhan Bakauheni,Harbourfront and Intermoda Area,ZHI_ZHA Raisya_Azalika,5,4 tahun lalu,"Pelabuhan yang bagus...sudah modern...pemesanan tiket sudah melalui sistem online sehingga tidak perlu antri tiket dan bayar cash lagi....pengaturan antrian mobil masuk ke kapal juga sudah baik sehingga mempersingkat waktu cukup banyak. Di pelabuhan juga dilengkapi dengan fasilitas yang baik...apalagi ada mall sehingga waktu menunggu kapal tidak lagi membosankan....Yang jadi masalah apabila kita salah memesan tiket, jangan sampai terbalik pelabuhan berangkat dan tujuannya...",pelabuhan yang bagus   sudah modern   pemesanan tiket sudah melalui sistem online sehingga tidak perlu antri tiket dan bayar cash lagi    pengaturan antrian mobil masuk ke kapal juga sudah baik sehingga mempersingkat waktu cukup banyak  di pelabuhan juga dilengkapi dengan fasilitas yang baik   apalagi ada mall sehingga waktu menunggu kapal tidak lagi membosankan    yang jadi masalah apabila kita salah memesan tiket  jangan sampai terbalik pelabuhan berangkat dan tujuannya,Positif,0.9999626875,-5.8671636,105.7570097
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Liviana,1,9 bulan lalu,Arus balik 2025 bis terjebak sampai lebih dari 7 jam. Yang diutamakan pejalan kaki dan kendaraan pribadi terus.,arus balik 2025 bis terjebak sampai lebih dari 7 jam  yang diutamakan pejalan kaki dan kendaraan pribadi terus,Negatif,0.999851346,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Joel Mgl,5,3 tahun lalu,Setelah sekian lama ga naik ferry ke Palembang..ada kebahagiaan tersendiri yg di rasakan anak2..,setelah sekian lama ga naik ferry ke palembang  ada kebahagiaan tersendiri yang di rasakan anak2,Positif,0.9999444485,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Supatmanto,4,Diedit 8 bulan lalu,Sesaat sebelum penyebrangan ke pelabuhan merak,sesaat sebelum penyebrangan ke pelabuhan merak,Netral,0.9999207258,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,NUR KHAFID,5,setahun lalu,sejuk angin malam di atas kapal menjadi salah satu pengalaman terbaik,sejuk angin malam di atas kapal menjadi salah satu pengalaman terbaik,Positif,0.9999626875,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,PAPIO Channel,5,3 tahun lalu,"Nasib2an, kalo dapat armada tua ya apa adanya pelayanan dan fasilitasnya
Lebih baik armada yg baru, full fasilitas","nasib2an  kalo dapat armada tua ya apa adanya pelayanan dan fasilitasnya
lebih baik armada yang baru  full fasilitas",Negatif,0.9998674393,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Mbakbutet 2020,5,6 bulan lalu,Pengaturannya arus kendaraannya perlu diacungi jempol,pengaturannya arus kendaraannya perlu diacungi jempol,Netral,0.9991808534,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Mangli Aja,1,9 bulan lalu,Lama banget minimal ngatur kendaraan sesuai ngk yang nyogok duluan,lama banget minimal ngatur kendaraan sesuai ngk yang nyogok duluan,Negatif,0.9999244213,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Edi Wibowo,4,3 tahun lalu,"Pelayanan semakin bagus, ,👍👍👍 …",pelayanan semakin bagus,Positif,0.999964118,-5.8715968,105.7533056
DERMAGA 6 BAKAUHENI,Harbourfront and Intermoda Area,Jajang Sopandi,5,3 tahun lalu,Tempatnya luas dan tertib,tempatnya luas dan tertib,Positif,0.9999655485,-5.8715968,105.7533056
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Hendro Prayitno,5,setahun lalu,"Empat hari menjelang akhir tahun 2024 kondisi cukup lengang, hanya beberapa menit antrian sampai tiba di kapal yang berada di Dermaga 5.

Tiba di Pelabuhan Bakauheni dari Merak sekitar pukul 09:30 dengan kondisi cuaca yang cerah. Berbeda kondisinya saat menjelang tengah malam. Ombaknya begitu terasa apalagi ketika tidur di ruang lesehan non ekonomi bertarif 15 ribu per orang milik KMP Mufidah Makassar.

Malam itu, penumpang yang menuju Pelabuhan Merak cenderung ramai, parkiran di kapal pun dipadati kendaraan yang akan menyeberang. Mungkin nanti akan lebih padat menjelang akhir tahun.","empat hari menjelang akhir tahun 2024 kondisi cukup lengang  hanya beberapa menit antrian sampai tiba di kapal yang berada di dermaga 5 

tiba di pelabuhan bakauheni dari merak sekitar pukul 09 30 dengan kondisi cuaca yang cerah  berbeda kondisinya saat menjelang tengah malam  ombaknya begitu terasa apalagi ketika tidur di ruang lesehan non ekonomi bertarif 15 ribu per orang milik kmp mufidah makassar 

malam itu  penumpang yang menuju pelabuhan merak cenderung ramai  parkiran di kapal pun dipadati kendaraan yang akan menyeberang  mungkin nanti akan lebih padat menjelang akhir tahun",Positif,0.999964118,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Pratama Pradi,4,4 bulan lalu,"Dock number 5 at Bakauheni Port, Lampung Province, Sumatera. Great job ASDP. Thank you.",dock number 5 at bakauheni port  lampung province  sumatera  great job asdp  thank you,Netral,0.9999136925,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Ridwan Rasyid,5,2 bulan lalu,Gembira sekali begitu nyampai pertamakali injakkan kaki di bakauhuni,gembira sekali begitu nyampai pertamakali injakkan kaki di bakauhuni,Netral,0.8548201323,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,putri mulyasari,5,2 tahun lalu,"pelabuhan penghubung pulau jawa dan sumatera indonesia. pelabuhannya keren sih, sangat luas, ramai, tertib, teratur. bangunannya cukup besar dan megah. 5 kali naik kapal kebetulan selalu malam hari sampai disini, jadi sayang sekali tidak bisa melihat pemandangan ketika siang hari. pelayanan di kapal. juga sangat baik",pelabuhan penghubung pulau jawa dan sumatera indonesia  pelabuhannya keren sih  sangat luas  ramai  tertib  teratur  bangunannya cukup besar dan megah  5 kali naik kapal kebetulan selalu malam hari sampai disini  jadi sayang sekali tidak bisa melihat pemandangan ketika siang hari  pelayanan di kapal  juga sangat baik,Positif,0.9999672174,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Mudabangsa fishing,2,9 bulan lalu,"Jam 18:15 kami antri ,loading  ,jam 19:15 siap naik kapal ,eee stelah antri di depan kapal nya penuh ,lucu ,gak propesional,
Emang gak bsa ngitung kapasitas nya , hujan2 di oper lgi dermaga yg lain,penuh juga ,oper lgi dermaga lain ..

Pertanyaan saya sekelas dermaga besar apa gak bsa  kalkulasi volume  muatan ???
Apa gak ada koordinasi antar dermaga satu sama lain , kami ini penumpang bukan barang oper sana oper sini !!!!","jam 18 15 kami antri  loading   jam 19 15 siap naik kapal  eee stelah antri di depan kapal nya penuh  lucu  tidak propesional 
emang tidak bsa ngitung kapasitas nya   hujan2 di oper lgi dermaga yang lain penuh juga  oper lgi dermaga lain   

pertanyaan saya sekelas dermaga besar apa tidak bsa  kalkulasi volume  muatan    
apa tidak ada koordinasi antar dermaga satu sama lain   kami ini penumpang bukan barang oper sana oper sini",Negatif,0.9998708963,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,siti khairunnisa,5,5 tahun lalu,"Sekarang sudah tidak bisa pake eMoney / Tapcash, harus beli tiket online di aplikasi FERIZY.

Pelabuhan tempat kapal reguler.
Kapal reguler bersih, disediakan sabun cuci tangan dimana mana. Ada kantin, ruang eksekutif ber AC cukup bayar 10rb dan mushola yang bersih.","sekarang sudah tidak bisa pake emoney   tapcash  harus beli tiket online di aplikasi ferizy 

pelabuhan tempat kapal reguler 
kapal reguler bersih  disediakan sabun cuci tangan dimana mana  ada kantin  ruang eksekutif ber ac cukup bayar 10rb dan mushola yang bersih",Positif,0.9999388456,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,rony sendang,1,6 bulan lalu,"masuk ruangan harus bayar lagi kondisi kapal udah gak terlalu baik, kamar mandi kotor",masuk ruangan harus bayar lagi kondisi kapal sudah tidak terlalu baik  kamar mandi kotor,Negatif,0.9999477863,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Sai Mentawai,4,Diedit 6 tahun lalu,"Semenjak beberapa generasi sebelumnya, dermaga ini sudah menjadi penghubung antara pulau Jawa dan Sumatera. Boleh dibilang bahwa pelabuhan Bakauheni ini adalah dermaga tersibuk di Indonesia hingga saat ini. Bahkan kapal Ferry penyeberangan tersedia 24 jam disini. Setidaknya terdapat lima dermaga yang diaktifkan untuk menyeberang. Fasilitas dermaga pun cukup lengkap sebagai prasyarat sebuah pelabuhan penyeberangan. Bakauheni - Merak selalu jadi kenangan Nusantara.",semenjak beberapa generasi sebelumnya  dermaga ini sudah menjadi penghubung antara pulau jawa dan sumatera  boleh dibilang bahwa pelabuhan bakauheni ini adalah dermaga tersibuk di indonesia hingga saat ini  bahkan kapal ferry penyeberangan tersedia 24 jam disini  setidaknya terdapat lima dermaga yang diaktifkan untuk menyeberang  fasilitas dermaga pun cukup lengkap sebagai prasyarat sebuah pelabuhan penyeberangan  bakauheni   merak selalu jadi kenangan nusantara,Positif,0.9999592304,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Yulia Angelina,5,6 tahun lalu,"View nya luar biasa cantik, PP merak-bakauheni-merak dalam 5 hari disambut mendung & kembalinya dapet cuaca cerah. Penyebrangan lancar.",view nya luar biasa cantik  pp merak bakauheni merak dalam 5 hari disambut mendung   kembalinya dapet cuaca cerah  penyebrangan lancar,Positif,0.9999659061,-5.8733304,105.750738
Dermaga 5 Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Denny,5,2 tahun lalu,"Dermaga nya bagus, pelayanan juga bagus, kapal kapal nya bagus"" . Hanya saja ketika mau masuk kapal kurang tertib saling mendahului. Yg pasti pelabuhan Merak dan Bakauheni sudah sangat bagus.",dermaga nya bagus  pelayanan juga bagus  kapal kapal nya bagus    hanya saja ketika mau masuk kapal kurang tertib saling mendahului  yang pasti pelabuhan merak dan bakauheni sudah sangat bagus,Positif,0.9999601841,-5.8733304,105.750738
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,MUHAMMAD RANGGA,5,3 bulan lalu,"🛳️ Pulang Kampung: Jembatan Feri
Debaran rindu memuncak saat mataku tertuju pada feri putih kuning di dermaga, kapal besar dengan tulisan ""We Bridge the Nation"". Ini adalah jembatan yang akan membawaku pulang setelah sekian lama merantau.
Di bawah langit yang cerah, setiap langkahku menuju lambung kapal terasa sakral. Membelakangi gedung pelabuhan modern dan pembatas jalan hitam-kuning, aku menghirup aroma laut dan janji kepulangan.
Feri ini bukan hanya kapal, tapi kapsul waktu yang mengangkut cerita dan kerinduan. Saat mesin meraung, kapal perlahan bergerak, membelah jarak. Aku berdiri di geladak, menatap ke cakrawala. Tujuan utamaku kini bukan lagi perantauan, melainkan pelukan hangat keluarga di kampung halaman.
Apakah Anda ingin saya membuatkan satu kalimat deskriptif yang sangat kuat untuk menggambarkan momen kepulangan ini?","pulang kampung  jembatan feri
debaran rindu memuncak saat mataku tertuju pada feri putih kuning di dermaga  kapal besar dengan tulisan  we bridge the nation   ini adalah jembatan yang akan membawaku pulang setelah sekian lama merantau 
di bawah langit yang cerah  setiap langkahku menuju lambung kapal terasa sakral  membelakangi gedung pelabuhan modern dan pembatas jalan hitam kuning  aku menghirup aroma laut dan janji kepulangan 
feri ini bukan hanya kapal  tapi kapsul waktu yang mengangkut cerita dan kerinduan  saat mesin meraung  kapal perlahan bergerak  membelah jarak  aku berdiri di geladak  menatap ke cakrawala  tujuan utamaku kini bukan lagi perantauan  melainkan pelukan hangat keluarga di kampung halaman 
apakah anda ingin saya membuatkan satu kalimat deskriptif yang sangat kuat untuk menggambarkan momen kepulangan ini",Positif,0.999958396,-5.8666924,105.7567928
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Bumary Maryati,5,seminggu lalu,"Sampai di pelabuhan sudah sore, mendung, angin besar. Puji Tuhan kapal berjalan stabil dan sampai di tujuan dengan sehat selamat",sampai di pelabuhan sudah sore  mendung  angin besar  puji tuhan kapal berjalan stabil dan sampai di tujuan dengan sehat selamat,Positif,0.9998526573,-5.8666924,105.7567928
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Tejo Kurniawan,5,2 bulan lalu,"Semakin oke
Diharapkan untuk seluruh penumpang agar perduli dengan kebersihan kamar mandi, jngn mentang² bayar, jadi seenaknya sendiri dalam hal kebersihan","semakin ok
diharapkan untuk seluruh penumpang agar perduli dengan kebersihan kamar mandi  jngn mentang² bayar  jadi seenaknya sendiri dalam hal kebersihan",Negatif,0.9999135733,-5.8666924,105.7567928
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Ariefdhianty Vibie,3,3 minggu lalu,"Selama lewat pelabuhan, kami cuma sekedar transit dan langsung naik kapal. Selebihnya verifikasi tiket lancar, petugas lapangan sigap mengarahkan kendaraan untuk langsung menuju kapal, Alhamdulillah tidak banyak menemukan kendala berarti kecuali kalau antrian panjang di high season.",selama lewat pelabuhan  kami cuma sekedar transit dan langsung naik kapal  selebihnya verifikasi tiket lancar  petugas lapangan sigap mengarahkan kendaraan untuk langsung menuju kapal  alhamdulillah tidak banyak menemukan kendala berarti kecuali kalau antrian panjang di high season,Positif,0.9998999834,-5.8666924,105.7567928
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,De' Virach,4,4 bulan lalu,"Port of bakuheni.
Pelabuhan untuk Menyebrang ke pulau Jawa, menuju pelabuhan Merak.
Ada mall,  toilet, mushola dan toko toko berjualan berbagai barang dan makanan.","port of bakuheni 
pelabuhan untuk menyebrang ke pulau jawa  menuju pelabuhan merak 
ada mall   toilet  mushola dan toko toko berjualan berbagai barang dan makanan",Netral,0.9793130159,-5.8666924,105.7567928
Pelabuhan Bakauheni,Harbourfront and Intermoda Area,Veronika Lubis,5,6 bulan lalu,"Pemandangan nya bagus, pengalaman ini tak akan terlupakan karna moment ini menyedihkan sebenarnya kalau g ada moment itu g bakal pernah nyeberanh lewat sini sih hehe biasa naik pesawat. Cuman ini bagus bgt menghilangkan streess juga",pemandangan nya bagus  pengalaman ini tak akan terlupakan karena moment ini menyedihkan sebenarnya kalau g ada moment itu g bakal pernah nyeberanh lewat sini sih hehe biasa naik pesawat  cuman ini bagus banget menghilangkan streess juga,Positif,0.9999300241,-5.8666924,105.7567928
